"year_id","mx","ax","qx","n","px","lx","dx","nLx","Tx","ex","age","location_name","sex"
1999,0.00795321360612142,1.35623529981925,0.0311577189713717,4,0.968842281028628,92916.2266437091,2895.05767764496,364011.055281691,5433475.79214693,58.4771464405438,"1","Haiti","both"
2000,0.00766692189462877,1.35561072168309,0.0300582762844474,4,0.969941723715553,93002.5601708411,2795.49664877608,364617.85931777,5450062.86126142,58.6012132488603,"1","Haiti","both"
2001,0.00751594096703208,1.35530232334124,0.029477821663022,4,0.970522178336978,93079.6919187525,2743.78655883002,365062.281737625,5465317.44037606,58.7165398564773,"1","Haiti","both"
2002,0.00689205185430099,1.35542191300001,0.0270747280106137,4,0.972925271989386,93650.0236716169,2535.54891909656,367894.637576509,5529495.76939481,59.0442538357912,"1","Haiti","both"
2003,0.00647367159725448,1.35566683771002,0.025458867630905,4,0.974541132369095,94098.7131867913,2395.64668326102,370059.964777488,5574287.77232676,59.2387247768361,"1","Haiti","both"
2004,0.00719838092759713,1.355599440284,0.028255665738623,4,0.971744334261377,93692.1818123064,2647.33497161082,367768.113168542,5459696.71411097,58.2727033195618,"1","Haiti","both"
2005,0.00727957777286775,1.35616277008231,0.0285684815601625,4,0.971431518439838,93379.9355781958,2667.72296765484,366466.717011791,5537876.63865085,59.3047811005766,"1","Haiti","both"
2006,0.00734386413445297,1.35605371620439,0.0288159436338788,4,0.971184056366121,93197.5297564342,2685.57476427815,365689.603607868,5548551.13320527,59.5353884132557,"1","Haiti","both"
2007,0.00654718004007783,1.35608444273712,0.0257431021410905,4,0.97425689785891,93721.2253622345,2412.67507728816,368505.992277475,5625951.57361253,60.0285746571079,"1","Haiti","both"
2008,0.00603336339161152,1.35585579463615,0.0237544961217374,4,0.976245503878263,94058.4373800958,2234.31078596217,370325.909602699,5667356.51000201,60.2535686096919,"1","Haiti","both"
2009,0.00630371743094846,1.35598239166937,0.0248014996596004,4,0.9751985003404,93636.4403592646,2322.32414369649,368405.495508874,5666132.30172745,60.5120429609201,"1","Haiti","both"
2010,0.0170129105814881,1.35552724641744,0.0651218008806206,4,0.934878199119379,92207.6428274501,6004.72775588059,352951.232366693,3381056.01155961,36.6678499512958,"1","Haiti","both"
2011,0.00616380632371832,1.35584059892447,0.0242598363845243,4,0.975740163615476,93310.8729964858,2263.70651179188,367257.891131513,5651048.57939568,60.5615229814482,"1","Haiti","both"
2012,0.0058059610235757,1.35514677878986,0.0228726141816112,4,0.977127385818389,93503.6498081757,2138.67290663488,368358.123306475,5712609.10787004,61.0950387454346,"1","Haiti","both"
2013,0.00520915956614084,1.35571475111286,0.0205535236746073,4,0.979446476325393,93924.1627093394,1930.47250186407,370591.930877296,5811543.73051177,61.8748526776475,"1","Haiti","both"
2014,0.00410651928851642,1.35486565253081,0.0162495695326271,4,0.983750430467373,94979.3180068343,1543.37303211355,375834.843009136,5981338.46074539,62.9751675024135,"1","Haiti","both"
2015,0.00328563093810568,1.35498731891321,0.0130292922258377,4,0.986970707774162,95786.8088575709,1248.03432398575,379846.16881691,6121354.68758856,63.9060300744608,"1","Haiti","both"
2016,0.00314726662539372,1.35609803433367,0.0124851765432961,4,0.987514823456704,95925.0726361835,1197.64146679125,380533.843916521,6161280.35210126,64.2301348623341,"1","Haiti","both"
1970,0.0215214061122895,1.36099541187286,0.0814591450193663,4,0.918540854980634,88580.55474795,7215.69625510917,335279.963468035,4748053.08373844,53.6015279792355,"1","Haiti","female"
1971,0.0201306947460167,1.36099934577942,0.0764608050901291,4,0.923539194909871,89253.3672206303,6824.38431469433,339003.91421139,4842973.88654692,54.2609655787586,"1","Haiti","female"
1972,0.0213608658687316,1.36100542545319,0.0808839380854335,4,0.919116061914567,88744.5358665658,7178.00754445183,336035.420500399,4825994.75604692,54.3807537999092,"1","Haiti","female"
1973,0.0228096740822736,1.36099946498871,0.0860584312536843,4,0.913941568746316,88815.8216997778,7643.35028598981,335092.481305105,4842543.80566472,54.5234363989095,"1","Haiti","female"
1974,0.022881415638158,1.36099493503571,0.0863136823331595,4,0.91368631766684,88577.2620503152,7645.42965855193,334132.720608514,4876135.08189197,55.0495123581732,"1","Haiti","female"
